"지역별","지표별",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"울산광역시","도시지역면적 (㎡)",755598443,755550507,755545355,755551876,755545356,755545353,761731893,764204857,764212886,671649337,677663085
"울산광역시","주택건설 인허가실적 (호)",13306,11891,16115,11425,12742,5729,6804,9016,13286,14329,4852
"울산광역시","토지거래면적",33079,31840,32447,29566,24774,24854,22679,26973,19708,12958,12957
"울산광역시","건축허가면적증감률 (%)",53.9,6.0,19.3,-38.2,5.0,-46.8,23.7,46.3,35.9,19.4,-55.6
"울산광역시","주택수 (호)",-,357674,361273,371300,379741,391596,394634,396893,400155,405885,411508
"울산광역시","농가수 (가구)",11559,12385,12451,12070,11772,11478,15284,13408,13024,12303,12487
"울산광역시","제조업생산 증감률 (%)",-1.5,-3.2,-7.5,-1.6,3.4,1.7,-6.8,6.8,-1.3,-1.0,1.1
"울산광역시","서비스업생산 증감률 (%)",1.9,3.4,1.0,-0.3,0.8,-0.4,-3.1,2.9,6.8,2.6,2.0
"울산광역시","종사자수 (명)",506899,519516,523344,521482,527085,533187,-,-,-,-,-
"울산광역시","친환경인증 농산물 출하량 (톤)",6474,5273,362,1094,1007,638,591,1240,1437,1370,1117
"울산광역시","친환경인증 축산물 출하량 (톤)",2371,4173,10097,2145,5903,875,3956,907,1192,1080,3340
"울산광역시","사업체수(등록기반) (개)",-,-,-,-,-,-,117247,115408,115784,116666,116775
"울산광역시","제조업 사업체수(등록기반) (개)",-,-,-,-,-,-,10235,10025,10282,9313,8836
"울산광역시","제조업 종사자수(등록기반) (명)",-,-,-,-,-,-,175733,177408,176701,171192,180998
"울산광역시","운수업 사업체수(등록기반) (개)",-,-,-,-,-,-,12618,12621,11888,12828,13117
"울산광역시","운수업 종사자수(등록기반) (명)",-,-,-,-,-,-,28813,30470,29714,30847,31777
"울산광역시","도소매업 사업체수(등록기반) (개)",-,-,-,-,-,-,27191,26003,26422,26733,26241
