"지역별","지표별",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"대구광역시","도시지역면적 (㎡)",797940177,797962749,797969025,798003179,797919337,799328917,799299015,799509757,801033747,808195732,808209312
"대구광역시","주택건설 인허가실적 (호)",20940,30162,25860,34047,36643,27699,27147,23727,26041,14248,3223
"대구광역시","토지거래면적",26420,23123,21340,26821,19423,16676,19691,19410,13119,12808,13931
"대구광역시","건축허가면적증감률 (%)",-5.2,50.8,-28.9,32.8,22.5,-14.1,6.4,0.0,-4.7,-50.5,-36.2
"대구광역시","주택수 (호)",-,738100,761054,783895,792998,800340,809802,815588,834637,876286,903591
"대구광역시","농가수 (가구)",17290,16571,16750,16554,15833,15747,24809,23893,22866,20882,19893
"대구광역시","제조업생산 증감률 (%)",2.7,-2.9,1.7,1.0,-0.4,0.1,-11.1,12.7,6.4,-1.9,-0.3
"대구광역시","서비스업생산 증감률 (%)",1.7,2.9,2.6,1.6,1.4,0.6,-2.9,4.9,4.7,1.6,0.7
"대구광역시","종사자수 (명)",866593,895517,929078,943170,967206,967934,-,-,-,-,-
"대구광역시","친환경인증 농산물 출하량 (톤)",6508,1590,1552,1483,1515,1374,1428,1750,1861,2724,2103
"대구광역시","친환경인증 축산물 출하량 (톤)",4926,5771,1988,5166,3634,211,1594,1326,1938,7064,7507
"대구광역시","사업체수(등록기반) (개)",-,-,-,-,-,-,283033,279798,279223,285388,286841
"대구광역시","제조업 사업체수(등록기반) (개)",-,-,-,-,-,-,33258,32690,32445,30025,28408
"대구광역시","제조업 종사자수(등록기반) (명)",-,-,-,-,-,-,173382,169828,169297,164964,159551
"대구광역시","운수업 사업체수(등록기반) (개)",-,-,-,-,-,-,29382,31075,31605,34118,33457
"대구광역시","운수업 종사자수(등록기반) (명)",-,-,-,-,-,-,55003,56222,56927,59657,59297
"대구광역시","도소매업 사업체수(등록기반) (개)",-,-,-,-,-,-,77644,74078,72840,75135,76045
"대구광역시","도소매업 종사자수(등록기반) (명)",-,-,-,-,-,-,161985,159185,155393,155834,152493
"대구광역시","서비스업 사업체수(등록기반) (개)",-,-,-,-,-,-,191476,187320,186237,190142,192573
"대구광역시","서비스업 종사자수 (명)",522549,536259,512288,523355,551065,549232,-,-,-,-,-
"대구광역시","서비스업 종사자수(등록기반) (명)",-,-,-,-,-,-,560936,567354,576962,591763,588647
"대구광역시","지방세 (백만원)",2591818,2862891,2979772,3156682,3227882,3476077,3959389,4246517,4363051,4186197,4399595
"대구광역시","경제성장률 (%)",-,-,0.5,1.8,1.2,1.6,-1.1,4.9,2.2,0.1,-0.8
"대구광역시","사업체수 (개)",198762,200069,205318,209376,210547,210944,-,-,-,-,-
