"지역별","지표별",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"인천광역시","도시지역면적 (㎡)",576020846,575396743,580154144,580144347,579740346,529642905,529650659,529699653,527855326,512816173,513676030
"인천광역시","주택건설 인허가실적 (호)",14643,33390,22899,23753,43444,46931,34972,26214,21178,29509,21428
"인천광역시","토지거래면적",25172,30256,29623,34429,34979,31847,35493,41589,30341,19089,17806
"인천광역시","건축허가면적증감률 (%)",-36.5,186.1,-40.2,13.2,31.1,17.2,-23.1,-3.6,-7.2,32.2,-25.0
"인천광역시","주택수 (호)",-,942244,958072,969588,997959,1019365,1032774,1053451,1087837,1131300,1152762
"인천광역시","농가수 (가구)",12928,13081,12347,11962,11440,11321,13239,12647,11762,11053,11421
"인천광역시","제조업생산 증감률 (%)",-0.6,-4.8,6.0,5.1,-2.1,-5.7,0.9,14.3,2.2,2.0,22.7
"인천광역시","서비스업생산 증감률 (%)",2.0,3.2,3.9,2.3,2.6,1.2,-9.6,2.2,10.3,7.5,4.1
"인천광역시","종사자수 (명)",931795,984652,1004747,1034344,1070454,1092494,-,-,-,-,-
"인천광역시","친환경인증 농산물 출하량 (톤)",6269,3195,4093,5102,5825,4723,3585,4164,2957,3409,3658
"인천광역시","친환경인증 축산물 출하량 (톤)",436,955,1479,1151,972,864,264,204,1224,1223,652
"인천광역시","사업체수(등록기반) (개)",-,-,-,-,-,-,306108,308892,317133,322297,328929
"인천광역시","제조업 사업체수(등록기반) (개)",-,-,-,-,-,-,33657,33574,33961,30869,29156
"인천광역시","제조업 종사자수(등록기반) (명)",-,-,-,-,-,-,253606,250357,252668,246065,242091
"인천광역시","운수업 사업체수(등록기반) (개)",-,-,-,-,-,-,38015,38766,41236,42619,41572
"인천광역시","운수업 종사자수(등록기반) (명)",-,-,-,-,-,-,96036,95243,97207,100101,100309
"인천광역시","도소매업 사업체수(등록기반) (개)",-,-,-,-,-,-,78706,78576,80224,84976,89140
"인천광역시","도소매업 종사자수(등록기반) (명)",-,-,-,-,-,-,172776,173100,171500,174170,176309
"인천광역시","서비스업 사업체수(등록기반) (개)",-,-,-,-,-,-,200000,201371,206060,212407,220184
"인천광역시","서비스업 종사자수 (명)",506638,530589,498282,521875,546015,568556,-,-,-,-,-
"인천광역시","서비스업 종사자수(등록기반) (명)",-,-,-,-,-,-,622369,643949,665422,680300,699207
"인천광역시","지방세 (백만원)",3220968,3727717,4028661,4427782,4465821,4809476,5187705,5923870,6143932,5905493,5891464
"인천광역시","경제성장률 (%)",-,-,2.9,4.3,2.5,2.4,-2.7,4.7,6.8,6.0,3.1
"인천광역시","사업체수 (개)",183593,186011,191566,196705,202493,206244,-,-,-,-,-
"인천광역시","제조업 사업체수 (개)",23667,24762,24738,24826,25235,25190,-,-,-,-,-
"인천광역시","제조업 종사자수 (명)",234742,245240,248950,250329,247361,244352,-,-,-,-,-
"인천광역시","운수업 사업체수 (개)",23081,23238,24271,24187,26111,26774,-,-,-,-,-
"인천광역시","운수업 종사자수 (명)",72358,76377,77026,76998,84685,83113,-,-,-,-,-
"인천광역시","도소매업 사업체수 (개)",44334,45181,45898,46705,47008,46874,-,-,-,-,-
"인천광역시","도소매업 종사자수 (명)",130472,136060,139481,143663,146626,147971,-,-,-,-,-
"인천광역시","서비스업 사업체수 (개)",124311,125311,128565,133245,136107,139054,-,-,-,-,-
"인천광역시","수출액 (100만달러)",30003,31198,35819,39287,40781,38018,37701,45948,54270,53801,59524
"인천광역시","수입액 (100만달러)",40352,35437,34244,39134,45677,42115,38591,53451,68296,60407,63768
"인천광역시","어음부도율",0,0,0,0,0,0,0,0,0,0,0
"인천광역시","가구수 (가구)",-,1066297,1085407,1105006,1122041,1150455,1178564,1216719,1249056,1282363,1310880
"인천광역시","어가수",2410,2172,2097,2052,1965,1879,1575,1657,1480,1447,1488
"인천광역시","1인당 GRDP (천원)",26559,28376,29864,31198,31688,32272,32292,35388,38065,39104,41187
"인천광역시","대형소매점판매액 (백만원)",-,-,-,-,-,-,2352315,2535262,2590578,2847050,3028126
"인천광역시","경찰공무원 1인당 담당주민수 (명)",529.0,513.5,512.1,488.6,480.2,458.7,449.2,441.8,442.0,444.8,445.2
"인천광역시","자연재해위험 개선지구 지정현황 (개소)",-,16,16,16,16,16,16,16,16,16,16
"인천광역시","자연재해 피해현황 (천원)",-,-,-,-,-,-,370972,301020,1696165,316013,1305836
"인천광역시","화재발생건수 (건)",1818,1875,1790,1608,1620,1499,1368,1270,1279,1332,1318
"인천광역시","개발제한구역 (km²)",88,88,88,88,88,88,88,84,84,84,83
"인천광역시","도시가스 보급률 (%)",90.4,91.2,92.0,92.8,92.9,92.5,91.1,90.6,90.4,90.2,89.2
"인천광역시","최종에너지소비량 (1,000 toe)",11212,12370,12646,13422,13769,13425,11226,10732,10654,12960,13954
"인천광역시","상수도보급률 (%)",98.5,98.6,98.8,98.8,98.8,99.0,99.1,99.1,99.1,99.1,99.2
"인천광역시","하수도보급률 (%)",97.6,97.6,97.5,96.8,96.9,97.1,97.2,97.3,97.4,97.6,97.4
"인천광역시","전력판매량 (MWh)",22578048,23211766,23875857,24515313,24921926,24280690,23638583,24901194,25506864,25875669,25964395
"인천광역시","기온 (℃)",12.1,12.3,12.4,11.9,11.6,12.5,12.3,12.7,11.9,12.7,13.4
"인천광역시","강수량 (㎜)",595.3,633.8,899.7,724.4,1012.6,864.7,1335.7,1068.4,1401.1,1215.6,1086.1
"인천광역시","논경지면적 (헥타르)",13589,13445,12720,12223,11547,11327,11226,12413,12288,12189,12169
"인천광역시","인구십만명당 자살률 (십만명당)",29.1,27.4,26.5,24.0,27.9,25.9,26.5,25.9,25.8,28.8,31.2
"인천광역시","사회복지시설 종사자 수 (명)",-,28180,32762,29615,31276,32861,34297,38672,40067,-,-
"인천광역시","사회복지 전담공무원 현황 (명)",720.0,787.0,844.0,897.0,1053.0,1187.0,1389.0,1523.0,1541.0,1620.0,1646.0
"인천광역시","등록장애인수 (명)",-,-,-,-,-,144565,146296,148575,150670,151782,152707
"인천광역시","국민기초생활보장 수급자수 (명)",72113,97334,100301,98789,110257,122027,142628,159186,166083,174116,184260
"인천광역시","지방자치단체공무원 현원 (명)",13301,13585,13721,13975,14515,15662,13478,13994,14485,14625,14669
