"지역별","지표별",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"부산광역시","도시지역면적 (㎡)",940825057,940825057,940825056,940825056,940825058,940825058,940825055,940825971,940844566,940825056,940825056
"부산광역시","주택건설 인허가실적 (호)",18516,36133,38020,51577,34327,17775,17906,21695,41665,28309,29395
"부산광역시","토지거래면적",31290,33536,29836,23245,19984,17026,22972,26144,15560,10740,9509
"부산광역시","건축허가면적증감률 (%)",-11.6,43.8,-4.2,40.9,-30.2,-29.5,1.7,67.0,66.1,-29.2,12.2
"부산광역시","주택수 (호)",-,1164352,1174034,1200422,1220782,1249757,1275859,1282831,1308294,1329355,1350452
"부산광역시","농가수 (가구)",7070,8068,8159,7716,7487,7314,11967,11137,10771,10670,9902
"부산광역시","제조업생산 증감률 (%)",2.0,8.2,5.0,-6.5,-3.1,-2.6,-7.6,7.7,9.5,-6.2,2.7
"부산광역시","서비스업생산 증감률 (%)",1.7,3.7,1.9,1.5,1.9,0.3,-4.1,4.2,6.5,1.1,1.2
"부산광역시","종사자수 (명)",1325781,1371843,1408615,1424317,1442115,1465433,-,-,-,-,-
"부산광역시","친환경인증 농산물 출하량 (톤)",935,1443,622,2070,1186,1068,707,1039,1037,808,947
"부산광역시","친환경인증 축산물 출하량 (톤)",1787,2900,-,-,-,-,-,-,530,500,530
"부산광역시","사업체수(등록기반) (개)",-,-,-,-,-,-,402003,401254,400565,401008,402419
"부산광역시","제조업 사업체수(등록기반) (개)",-,-,-,-,-,-,38222,38105,38067,35062,33609
"부산광역시","제조업 종사자수(등록기반) (명)",-,-,-,-,-,-,216869,213028,210883,205191,210397
"부산광역시","운수업 사업체수(등록기반) (개)",-,-,-,-,-,-,49890,49764,49937,51527,52816
"부산광역시","운수업 종사자수(등록기반) (명)",-,-,-,-,-,-,127783,131749,133110,132691,136371
"부산광역시","도소매업 사업체수(등록기반) (개)",-,-,-,-,-,-,112358,110109,108084,109774,110241
"부산광역시","도소매업 종사자수(등록기반) (명)",-,-,-,-,-,-,246846,247220,241934,240302,235313
