"지역별","지표별",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"광주광역시","주택건설 인허가실적 (호)",11668,15456,25038,21754,11820,18349,10651,5361,10708,11479,5754
"광주광역시","토지거래면적",15710,17970,16017,18441,16335,13244,17182,18786,13534,8944,6242
"광주광역시","건축허가면적증감률 (%)",10.5,11.3,40.3,-16.6,-7.3,30.3,-33.6,-8.7,12.3,21.0,-57.6
"광주광역시","주택수 (호)",-,486527,494547,505471,514767,526161,538275,542703,555185,560550,567994
"광주광역시","농가수 (가구)",11869,12036,12126,10940,10380,10238,16676,14708,14028,13632,12521
"광주광역시","제조업생산 증감률 (%)",8.9,1.7,-2.0,0.6,-6.4,-1.1,0.1,7.7,5.8,-1.1,4.7
"광주광역시","서비스업생산 증감률 (%)",1.2,3.4,2.8,1.9,2.2,1.3,-1.6,2.8,5.8,3.7,2.0
"광주광역시","종사자수 (명)",537822,559853,585486,600938,616265,631876,-,-,-,-,-
"광주광역시","친환경인증 농산물 출하량 (톤)",2847,2645,2811,4752,3615,4715,4377,4584,3587,3127,2518
"광주광역시","친환경인증 축산물 출하량 (톤)",373,187,253,2133,359,165,906,921,1025,989,1161
"광주광역시","사업체수(등록기반) (개)",-,-,-,-,-,-,170085,170973,170894,173424,175238
"광주광역시","제조업 사업체수(등록기반) (개)",-,-,-,-,-,-,11535,11572,11661,10711,10166
"광주광역시","제조업 종사자수(등록기반) (명)",-,-,-,-,-,-,88160,87325,88914,82335,80250
"광주광역시","운수업 사업체수(등록기반) (개)",-,-,-,-,-,-,17428,18986,19354,20126,20508
"광주광역시","운수업 종사자수(등록기반) (명)",-,-,-,-,-,-,34924,37571,36816,38656,39134
"광주광역시","도소매업 사업체수(등록기반) (개)",-,-,-,-,-,-,44759,43193,42436,43318,43410
"광주광역시","도소매업 종사자수(등록기반) (명)",-,-,-,-,-,-,96162,96138,92610,91836,90215
"광주광역시","서비스업 사업체수(등록기반) (개)",-,-,-,-,-,-,117245,116078,115276,117216,118134
"광주광역시","서비스업 종사자수 (명)",336701,347480,332216,342112,352204,364864,-,-,-,-,-
"광주광역시","서비스업 종사자수(등록기반) (명)",-,-,-,-,-,-,371711,380031,380986,390060,391249
"광주광역시","지방세 (백만원)",1428496,1553789,1678987,1710868,1845600,2027885,2267962,2392719,2635299,2442204,2481681
"광주광역시","경제성장률 (%)",-,-,3.2,3.3,2.6,3.0,1.9,4.1,1.0,0.8,2.4
"광주광역시","사업체수 (개)",111285,113424,116046,118409,119617,123706,-,-,-,-,-
"광주광역시","제조업 사업체수 (개)",8547,8770,8870,8983,9105,9266,-,-,-,-,-
"광주광역시","제조업 종사자수 (명)",82331,82540,85157,86364,86109,85858,-,-,-,-,-
"광주광역시","운수업 사업체수 (개)",9718,10476,10513,10056,9774,11308,-,-,-,-,-
"광주광역시","운수업 종사자수 (명)",26514,28009,28119,28701,29917,30315,-,-,-,-,-
"광주광역시","도소매업 사업체수 (개)",30620,31179,31542,31636,31616,31799,-,-,-,-,-
"광주광역시","도소매업 종사자수 (명)",87631,89616,91616,92544,93051,94194,-,-,-,-,-
"광주광역시","서비스업 사업체수 (개)",83307,84320,85896,88068,89126,91323,-,-,-,-,-
"광주광역시","수출액 (100만달러)",16258,15305,14699,14951,14664,13415,13772,16603,17946,17716,15552
"광주광역시","수입액 (100만달러)",5167,5552,5628,6388,6280,5899,6463,8050,9714,7124,7405
"광주광역시","어음부도율",0,0,0,0,2,2,1,1,0,2,1
"광주광역시","가구수 (가구)",-,573181,575918,583068,586263,596078,608316,625511,634113,639311,641029
"광주광역시","1인당 GRDP (천원)",23448,24731,26248,27449,28594,29807,30823,32098,33497,35143,37675
"광주광역시","대형소매점판매액 (백만원)",-,-,-,-,-,-,1605407,1783129,1857223,1912527,1889277
"광주광역시","백화점판매액 (백만원)",-,-,-,-,-,-,839159,1002968,1098620,1085291,1062919
"광주광역시","경찰공무원 1인당 담당주민수 (명)",476.7,458.6,454.6,447.5,439.6,423.8,419.0,404.0,401.0,398.9,392.3
"광주광역시","자연재해위험 개선지구 지정현황 (개소)",-,28,29,29,29,30,30,31,31,41,42
"광주광역시","자연재해 피해현황 (천원)",-,-,-,-,-,-,40059322,150176,174459,1737788,56473
"광주광역시","화재발생건수 (건)",1010,1006,956,923,860,844,882,743,761,732,688
