"지역별","지표별",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"대전광역시","주택건설 인허가실적 (호)",5091,8853,14256,11304,6085,20683,16732,13809,18192,14087,28340
"대전광역시","토지거래면적",9964,13666,11582,11942,12139,10474,13307,14228,10278,6362,7319
"대전광역시","건축허가면적증감률 (%)",33.6,34.6,5.0,-15.3,-2.3,17.9,31.2,-2.8,15.1,-34.9,119.5
"대전광역시","주택수 (호)",-,468885,474193,479161,486764,492797,496875,501218,510178,514123,523823
"대전광역시","농가수 (가구)",9357,9428,9398,9127,8852,8920,13491,12241,11298,10999,11767
"대전광역시","제조업생산 증감률 (%)",8.4,3.3,10.0,-1.0,-10.2,10.6,-7.0,1.0,-1.7,-4.8,7.9
"대전광역시","서비스업생산 증감률 (%)",2.0,2.8,4.1,1.5,1.3,0.9,-2.6,3.5,7.0,4.4,1.0
"대전광역시","종사자수 (명)",556297,586069,597011,605742,618271,633418,-,-,-,-,-
"대전광역시","친환경인증 농산물 출하량 (톤)",1358,895,827,765,581,583,488,958,903,1168,1168
"대전광역시","친환경인증 축산물 출하량 (톤)",7,-,5,3,2,5,4,35,18,42,69
"대전광역시","사업체수(등록기반) (개)",-,-,-,-,-,-,164406,164095,164664,167782,172209
"대전광역시","제조업 사업체수(등록기반) (개)",-,-,-,-,-,-,11049,11047,11151,10302,9939
"대전광역시","제조업 종사자수(등록기반) (명)",-,-,-,-,-,-,67835,67179,69175,66422,66618
"대전광역시","운수업 사업체수(등록기반) (개)",-,-,-,-,-,-,16862,17999,18358,18298,19111
"대전광역시","운수업 종사자수(등록기반) (명)",-,-,-,-,-,-,34809,34615,34980,34627,36024
"대전광역시","도소매업 사업체수(등록기반) (개)",-,-,-,-,-,-,45329,43994,43400,45395,46931
"대전광역시","도소매업 종사자수(등록기반) (명)",-,-,-,-,-,-,105502,100570,98226,97798,97979
"대전광역시","서비스업 사업체수(등록기반) (개)",-,-,-,-,-,-,115797,114394,114235,117532,120405
"대전광역시","서비스업 종사자수 (명)",359806,373014,341240,349338,353847,366278,-,-,-,-,-
"대전광역시","서비스업 종사자수(등록기반) (명)",-,-,-,-,-,-,394853,391973,397844,408102,407884
"대전광역시","지방세 (백만원)",1549395,1626744,1683926,1713620,1735655,1991017,2252393,2511095,2635489,2465188,2496941
"대전광역시","경제성장률 (%)",-,-,4.1,1.4,0.8,5.1,2.3,2.3,1.8,2.0,2.0
"대전광역시","사업체수 (개)",109535,111815,113228,115423,117557,119628,-,-,-,-,-
"대전광역시","제조업 사업체수 (개)",7667,8044,7992,8114,8220,8380,-,-,-,-,-
"대전광역시","제조업 종사자수 (명)",58627,61558,61352,61370,61879,63480,-,-,-,-,-
"대전광역시","운수업 사업체수 (개)",11286,11790,11609,11905,12730,12996,-,-,-,-,-
"대전광역시","운수업 종사자수 (명)",28345,30650,31009,29999,35058,30414,-,-,-,-,-
"대전광역시","도소매업 사업체수 (개)",29949,30443,30517,30776,30718,30596,-,-,-,-,-
"대전광역시","도소매업 종사자수 (명)",86067,89612,89082,90191,90795,92180,-,-,-,-,-
"대전광역시","서비스업 사업체수 (개)",81442,82597,83484,85069,86068,87565,-,-,-,-,-
"대전광역시","수출액 (100만달러)",4732,4307,4163,4454,4515,4048,5018,4953,4684,4278,4592
"대전광역시","수입액 (100만달러)",3558,3624,3477,3488,3425,3172,3621,3813,4473,4556,4335
"대전광역시","어음부도율",0,0,0,0,0,0,0,0,0,1,0
"대전광역시","가구수 (가구)",-,588395,596752,604490,608260,616363,639020,648593,656236,665786,670971
"대전광역시","1인당 GRDP (천원)",23047,24568,26265,27281,28027,29870,31276,32928,34409,36174,38220
"대전광역시","대형소매점판매액 (백만원)",-,-,-,-,-,-,2049133,2444257,2940610,3036681,2961099
"대전광역시","백화점판매액 (백만원)",-,-,-,-,-,-,996096,1387741,1903531,1946657,1875416
"대전광역시","경찰공무원 1인당 담당주민수 (명)",574.4,524.6,512.3,495.6,484.5,457.7,450.4,430.9,429.1,438.8,433.1
"대전광역시","자연재해위험 개선지구 지정현황 (개소)",-,-,-,-,-,-,-,2,3,4,5
"대전광역시","자연재해 피해현황 (천원)",-,-,-,-,-,-,7124307,4243,2554865,1302171,15901850
"대전광역시","화재발생건수 (건)",1291,1254,974,1059,1094,878,865,796,964,1021,821
"대전광역시","개발제한구역 (km²)",305,305,305,305,304,304,304,304,304,303,302
"대전광역시","도시가스 보급률 (%)",93.4,94.1,94.4,94.6,94.8,95.1,95.3,95.4,95.5,94.5,95.7
"대전광역시","최종에너지소비량 (1,000 toe)",2631,2660,2729,2736,2760,2680,2558,2569,2640,2456,2461
"대전광역시","상수도보급률 (%)",99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100.0,100.0
"대전광역시","하수도보급률 (%)",97.4,97.4,97.6,97.5,97.8,97.8,98.0,98.1,98.0,98.0,98.0
